Respondent_ID,Q1_Age,Q2_Gender,Q3_Education,Q4_Employment,Q5_FamilyFinance,Q6_HomeLocation,Q7_FamilyHistory,Q8.1_Stress,Q8.2_PeerPressure,Q8.3_Normality,Q8.4_ExploreIdentity,Q8.5_HomeProblem,Q8.6_ConfidentToSayNo,Q9_Beliefs,Q10_MoralFailing,Q11_Penalties,Q12_FirstTimeMotivation,Q13_SocialAttitude,Q14_EverUsed,Q15_FirstUseAge,Q16_WeeklySpend,Q17_Cannabis,Q17_Cocaine,Q17_Ecstasy,Q17_Heroin,Q17_Meth,Q17_Prescription,Q17_Psychedelics,Q18_Frequency,Q19_Setting,Q20_InterestInHelp,Q21.1_SchoolEd,Q21.2_ParentalGuide,Q21.3_Commu,Q21.4_PublicCamp,Q21.5_MentalHealth
1420.73806829698,16.3756430584153,Male,1,Self-employed,Struggled to meet basic needs,A large city,Yes,2.82940801260938,4.65283032543508,3.74161951725389,3.96133971854458,3.2890672075612,1.82992981121632,1.72077174104881,1.50769108225063,1.6272694035771,To seek a 'high' or plessure,"Mixed or polarized (e.g., some are for it, others are strongly against it)",Yes,15.414717108622,46.4120297671967,No,No,Yes,No,No,No,No,Once a week,At home alone,"Yes, considering",3.10369461895018,4.66542694775347,1.35152250419013,4.12006943855922,3.96087398907618
1776.94050191315,16.5120837435758,Female,2,Self-employed,"Comfortable, able to meet most needs",A town,No,2.21086720239975,4.28834387498858,3.39007370541881,2.67118847955332,2.20675890521445,3.03234810996487,2.30534781391463,1.98566612887728,2.94847953619679,To relieve stress or anxiety,"Negative and stigmatized (e.g., seen as dangerous or a moral failing)",Yes,15.6857310138453,13.6283157137192,Yes,No,Yes,No,No,No,No,1-3 times a month,At a party or social gathering,"Yes, considering",1.91642507998992,1.60784311864277,3.24799857938513,2.4624806619291,3.67829027043308
978.278277661593,16.6787013959536,Male,2,Student,Struggled to meet basic needs,A large city,Yes,3.51531991394332,4.58383409725032,3.05147355190424,3.22919620812717,4.10836640537416,1.6509401433835,2.33892173256878,1.82939940862477,1.42442596366521,Curiosity,"Accepted and normalized (e.g., seen as a recreational or casual activity)",Yes,15.7418557799772,17.2940670694338,Yes,No,Yes,No,No,No,Yes,Once a week,At a party or social gathering,"Yes, actively",3.90017985852968,3.44272315550858,2.43959544767654,4.50614213780838,4.39014251194647
1999.64814735349,16.8303903609499,Male,1,Unemployed,Struggled to meet basic needs,A town,Yes,2.70962836509504,4.35058449464774,4.26149760068561,2.79469414528694,2.74470582178408,1.53213389240155,2.46411472388098,1.79231235101182,2.41580019554998,To cope with boredom,"Mixed or polarized (e.g., some are for it, others are strongly against it)",Yes,15.8370789879753,16.5539086736362,Yes,No,No,No,No,No,Yes,Once a week,At a friend's house,"Yes, considering",1.08125753913952,1.00499622087151,2.0604368321419,3.00257171553752,2.44386198073292
1712.20771896188,16.9727536616509,Female,1,Employed full-time,"Met basic needs, but with some difficulty",A large city,Yes,3.29816173157465,4.40562935129061,3.7491696770309,3.53226099095211,2.79851910604831,1.80191851901105,2.10554695451824,1.89452001486539,2.77384798490796,To escape problems,"Accepted and normalized (e.g., seen as a recreational or casual activity)",Yes,16.6662529857785,40.5114590019036,Yes,No,No,No,No,No,No,Once a week,"Outdoors (e.g., park, street)","Yes, considering",2.06218118987846,3.07857096601755,1.70944602339554,2.11082126619789,2.87551973306453
933.423412187122,17.1471802078192,Male,2,Employed part-time,Struggled to meet basic needs,A large city,No,3.2578706433479,2.43141665972276,1.17101805390968,3.52279136323919,4.3169019988588,4.42563586718578,2.27381459889292,1.54409855978511,1.32760873485804,Curiosity,"Accepted and normalized (e.g., seen as a recreational or casual activity)",Yes,15.9258711506691,34.9554372957276,No,No,No,No,No,Yes,No,Once a week,At a friend's house,"Yes, actively",2.88925713919316,2.32597425986298,1.70863353491051,3.18189541202918,3.45359710569223
1477.75585525031,17.4014616717179,Male,1,Unemployed,"Met basic needs, but with some difficulty",A large city,No,3.40076920973761,3.49817550498658,2.28383496440102,2.03361462853069,3.8724132460386,2.21475086616007,2.19585483187914,2.71877375216749,1.74930871178811,To relieve stress or anxiety,"Negative and stigmatized (e.g., seen as dangerous or a moral failing)",Yes,16.6519107604195,9.95900848310854,Yes,No,Yes,No,No,No,No,Once a week,At home alone,"Yes, considering",2.06508097312733,1.08717232445022,1.38495225656794,1.87558909068814,1.65980242991325
1384.40180507115,17.4975376556756,Male,1,Employed full-time,Struggled to meet basic needs,A suburb of a large city,Yes,3.97570539857149,4.48193156338683,3.86211941539276,3.30859194302433,3.168302017138,1.27433313686075,1.82067478424509,2.10417950425076,1.48553967241936,Curiosity,"Mixed or polarized (e.g., some are for it, others are strongly against it)",Yes,16.0793278307725,25.9326687710678,Yes,No,No,No,No,Yes,No,Daily,At a party or social gathering,"Yes, actively",1.29007688059497,1.10156473032626,1.02952136530768,2.95836840356435,2.08436334136242
1596.04543433145,17.5060323156697,Female,1,Self-employed,Struggled to meet basic needs,A large city,Yes,2.86309609874012,4.04147173207539,4.10385496336524,3.68838089476012,3.5127450391713,2.10732780813757,1.77171722475725,1.40769079031224,1.66349946421501,Curiosity,Private and not openly discussed,Yes,15.8993557797303,47.407415879068,Yes,Yes,No,No,No,No,No,Once a week,"Outdoors (e.g., park, street)",Not sure,2.94928816579533,4.31754358047145,2.87524454716976,4.2687835768532,4.38512479399175
1035.10471666658,17.5897945127823,Female,2,Employed full-time,"Comfortable, able to meet most needs",A suburb of a large city,No,1.64108661302625,4.61146248795326,3.70029273161682,3.26792375077652,1.63681942121706,1.79402249440619,2.76911896330326,3.2057699770565,3.64857051121868,To escape problems,"Accepted and normalized (e.g., seen as a recreational or casual activity)",Yes,16.7820546086829,32.6209851314005,Yes,No,No,No,No,Yes,No,Less than once a month,At a party or social gathering,Not sure,3.47753974291121,3.774488137149,2.99758362585239,4.13896418618051,4.50154998794759
